Package,Version
AnnotationDbi,1.72.0
ape,5.8-1
aplot,0.2.9
askpass,1.2.1
base64enc,0.1-6
BH,1.90.0-1
Biobase,2.70.0
BiocFileCache,3.0.0
BiocGenerics,0.56.0
BiocManager,1.30.27
BiocParallel,1.44.0
BiocVersion,3.22.0
biomaRt,2.66.2
Biostrings,2.78.0
bit,4.6.0
bit64,4.6.0-1
blob,1.3.0
brew,1.0-10
brio,1.1.5
bslib,0.10.0
cachem,1.1.0
callr,3.7.6
cli,3.6.5
clusterProfiler,4.18.4
commonmark,2.0.0
cowplot,1.2.0
cpp11,0.5.4
crayon,1.5.3
curl,7.0.0
data.table,1.18.2.1
DBI,1.3.0
dbplyr,2.5.2
desc,1.4.3
diffobj,0.3.6
digest,0.6.39
DOSE,4.4.0
dplyr,1.2.1
edgeR,4.8.2
enrichplot,1.30.5
evaluate,1.0.5
farver,2.1.2
fastmap,1.2.0
fastmatch,1.1-8
fgsea,1.36.2
filelock,1.0.3
fontawesome,0.5.3
fontBitstreamVera,0.1.1
fontLiberation,0.1.0
fontquiver,0.2.1
formatR,1.14
fs,2.0.1
futile.logger,1.4.9
futile.options,1.0.1
gdtools,0.5.0
generics,0.1.4
ggforce,0.5.0
ggfun,0.2.0
ggiraph,0.9.6
ggnewscale,0.5.2
ggplot2,4.0.2
ggplotify,0.1.3
ggrepel,0.9.8
ggtangle,0.1.1
ggtree,4.0.5
glue,1.8.0
GO.db,3.22.0
GOSemSim,2.36.0
gridExtra,2.3
gridGraphics,0.5-1
gson,0.1.0
gtable,0.3.6
gtools,3.9.5
highr,0.12
hms,1.1.4
htmltools,0.5.9
htmlwidgets,1.6.4
httr,1.4.8
httr2,1.2.2
igraph,2.2.3
IRanges,2.44.0
isoband,0.3.0
jquerylib,0.1.4
jsonlite,2.0.0
KEGGREST,1.50.0
knitr,1.51
labeling,0.4.3
lambda.r,1.2.4
lazyeval,0.2.3
lifecycle,1.0.5
limma,3.66.0
locfit,1.5-9.12
magrittr,2.0.5
memoise,2.0.1
mime,0.13
openssl,2.3.5
openxlsx,4.2.8.1
org.Hs.eg.db,3.22.0
org.Mm.eg.db,3.22.0
patchwork,1.3.2
pillar,1.11.1
pkgbuild,1.4.8
pkgconfig,2.0.3
pkgload,1.5.1
plyr,1.8.9
png,0.1-9
polyclip,1.10-7
praise,1.0.0
prettyunits,1.2.0
processx,3.8.7
progress,1.2.3
ps,1.9.2
purrr,1.2.1
qvalue,2.42.0
R.methodsS3,1.8.2
R.oo,1.27.1
R.utils,2.13.0
R6,2.6.1
rappdirs,0.3.4
RColorBrewer,1.1-3
Rcpp,1.1.1
renv,1.2.0
reshape2,1.4.5
rlang,1.2.0
rmarkdown,2.31
roxygen2,7.3.3
rprojroot,2.1.1
RSQLite,2.4.6
S4Vectors,0.48.1
S7,0.2.1
sass,0.4.10
scales,1.4.0
scatterpie,0.2.6
Seqinfo,1.0.0
snow,0.4-4
statmod,1.5.1
stringi,1.8.7
stringr,1.6.0
sys,3.4.3
systemfonts,1.3.2
testthat,3.3.2
tibble,3.3.1
tidydr,0.0.6
tidyr,1.3.2
tidyselect,1.2.1
tidytree,0.4.7
tinytex,0.59
treeio,1.34.0
tweenr,2.0.3
utf8,1.2.6
vctrs,0.7.2
viridisLite,0.4.3
waldo,0.6.2
withr,3.0.2
wrapr,2.1.0
xfun,0.57
xml2,1.5.2
XVector,0.50.0
yaml,2.3.12
yulab.utils,0.2.4
zip,2.3.3
base,4.5.2
boot,1.3-32
class,7.3-23
cluster,2.1.8.2
codetools,0.2-20
compiler,4.5.2
datasets,4.5.2
foreign,0.8-91
graphics,4.5.2
grDevices,4.5.2
grid,4.5.2
KernSmooth,2.23-26
lattice,0.22-9
MASS,7.3-65
Matrix,1.7-4
methods,4.5.2
mgcv,1.9-4
nlme,3.1-168
nnet,7.3-20
parallel,4.5.2
rpart,4.1.24
spatial,7.3-18
splines,4.5.2
stats,4.5.2
stats4,4.5.2
survival,3.8-6
tcltk,4.5.2
tools,4.5.2
utils,4.5.2
